w,l,nf,flavor,vg,mean_rel_error,vth_error
8e-07,2e-07,1,4,0.0,1.9995855244841707,-0.10100722147959884
1.6e-06,1e-06,2,1,0.0,1.9995817729394083,0.037197673914413976
3e-06,5e-07,1,2,0.0,1.9995727574909687,0.03595314932700411
1e-07,9e-08,1,5,0.0,1.9995687071490902,-0.1900603803376334
1e-07,1e-06,4,0,0.0,1.9995680989360558,0.6673444778461042
8e-07,5e-07,4,5,0.0,1.9995668610340016,0.05607719521980836
2.65e-06,1e-06,8,6,0.9,1.9995665282101611,0.7130088940892868
3e-06,2e-07,1,2,0.0,1.9995653034989165,0.00658802469641262
2e-07,9e-08,1,5,0.0,1.9995599250711553,-0.15263603540265402
4e-07,9e-08,1,2,0.0,1.9995551111620997,-0.11361756658731792
1.6e-06,2e-07,1,6,0.9,1.9995533682667297,0.5242818860309058
1.6e-06,1e-06,8,9,0.9,1.9995503055039812,0.687457938654798
4e-07,1e-06,8,4,0.0,1.9995408293086616,0.02845262257135117
4e-07,9e-08,1,5,0.0,1.9995362224594995,-0.0907402070584924
4e-07,2e-07,1,0,0.0,1.999532077034828,0.6554606769805642
1.6e-06,1e-06,2,2,0.0,1.9995263222050135,0.020439723472593374
8e-07,5e-07,8,8,0.9,1.9995262573039643,0.6648644091521729
2.65e-06,1e-06,1,2,0.0,1.9995248996081858,0.0293554565849915
2e-07,5e-07,8,4,0.0,1.9995224697619556,-0.06986708304520861
8e-07,5e-07,4,1,0.0,1.9995205459655299,0.6087661647645892
3e-06,5e-07,2,8,0.9,1.9995133085007495,0.6675655481939728
1.6e-06,2e-07,1,7,0.9,1.999512235684605,0.4571537521284917
1.6e-06,5e-07,4,8,0.9,1.9995114150833586,0.6840362879885368
1e-07,5e-07,2,0,0.0,1.999507557255388,0.663432696768919
8e-07,1e-06,4,4,0.0,1.9995031052889984,0.01577831116835826
1.6e-06,2e-07,1,8,0.9,1.9995010941305806,0.49165430621383094
8e-07,1e-06,4,5,0.0,1.999492352944087,0.04403523806427412
1.6e-06,5e-07,2,5,0.0,1.9994855672395377,0.039917631242481044
1e-07,5e-07,4,0,0.0,1.999481807504612,0.6627012752506619
2e-07,6e-08,1,9,0.9,1.99947721738276,0.22367430886950807
3e-06,5e-07,2,9,0.9,1.9994736007546414,0.6921285942078618
2e-07,9e-08,1,2,0.0,1.999465208454388,-0.1454321837938174
8e-07,5e-07,8,9,0.9,1.9994604434961651,0.6799548495792815
1e-07,9e-08,2,6,0.9,1.999459615706193,0.11019838027613887
3e-06,2e-07,1,1,0.0,1.9994534504873869,0.029374898581404407
2e-07,9e-08,2,9,0.9,1.9994446189198438,0.3060618260887764
8e-07,9e-08,1,2,0.0,1.9994424710593623,-0.07843620540608387
4e-07,9e-08,1,9,0.9,1.9994381908762748,0.3191681718162198
4e-07,9e-08,1,1,0.0,1.9994367629016767,-0.15045594482336522
2.65e-06,1e-06,8,7,0.9,1.9994264651759468,0.7935338992311285
1e-07,9e-08,4,9,0.9,1.9994260947086449,0.2898424668863589
