w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
1e-07,4e-08,8,4,0.0,1.9999986615792573,0.14248297003715166,0.3,2.2774510000000002e-07,1.119815000000001e-07,
2e-07,6e-08,8,5,0.0,1.999998599910411,0.3702248285298865,0.12088647205481115,3.041288e-07,1.1024340000000001e-07,5.972266666666666e-07
2e-07,6e-08,8,2,0.0,1.99999859984604,0.395975837047675,0.09513546353702268,3.293334e-07,1.0969640000000005e-07,6.696550000000002e-07
1e-07,9e-08,8,0,0.0,1.9999985303794825,-0.06760369607034133,0.5913458072841347,1.2317700000000004e-07,1.0300290000000005e-07,3.784610000000002e-07
1e-07,6e-08,8,0,0.0,1.999998495558609,-0.06990752045975313,0.5764445034447077,1.730057e-07,1.0271460000000001e-07,4.2352433333333337e-07
2e-07,9e-08,8,5,0.0,1.9999984758673355,-0.06485731258185479,0.5671665939596545,2.383366e-07,1.1028229999999998e-07,5.936569999999999e-07
4e-07,9e-08,8,1,0.0,1.9999984739231764,0.47997386278690674,0.031378916360008405,4.776786e-07,1.0684070000000005e-07,9.527849999999997e-07
2e-07,9e-08,8,2,0.0,1.9999984684733434,-0.04462903054518874,0.5469383119229885,2.6917310000000004e-07,1.092487e-07,6.543930000000001e-07
8e-07,6e-08,4,1,0.0,1.9999984355496099,0.4826698176314953,0.030996984019733914,5.330012e-07,1.082444e-07,1.0019496666666664e-06
4e-07,4e-08,2,4,0.0,1.9999983948623024,-0.10170693561337985,0.5521355393503735,1.8513360000000005e-07,1.1255650000000009e-07,
4e-07,3e-08,2,4,0.0,1.9999983948623024,-0.10170693561337985,0.5521355393503735,1.8513360000000005e-07,1.1255650000000009e-07,
4e-07,4e-08,4,5,0.0,1.9999983579603973,0.33968421052631514,0.16031578947368483,3.25224e-07,1.1004120000000006e-07,
4e-07,3e-08,4,5,0.0,1.9999983579603973,0.33968421052631514,0.16031578947368483,3.25224e-07,1.1004120000000006e-07,
4e-07,3e-08,4,2,0.0,1.999998334832604,0.35858473432696625,0.14141526567303378,3.593300000000001e-07,1.105881e-07,
4e-07,4e-08,4,2,0.0,1.999998334832604,0.35858473432696625,0.14141526567303378,3.593300000000001e-07,1.105881e-07,
4e-07,6e-08,2,4,0.0,1.999998312530112,-0.1240576164592746,0.5846297984502269,1.5511300000000005e-07,1.1220740000000005e-07,3.9565633333333364e-07
4e-07,6e-08,4,2,0.0,1.9999982987956604,0.489536886495096,0.004931191802847277,3.347555e-07,1.1039820000000008e-07,7.122029999999999e-07
4e-07,6e-08,4,5,0.0,1.9999982932672178,0.2790285151633631,0.21543956313458024,2.892495e-07,1.095711000000001e-07,6.328523333333336e-07
4e-07,9e-08,4,2,0.0,1.9999982766941524,-0.06834258573036256,0.5724277016550452,2.545856000000001e-07,1.1040630000000005e-07,6.775540000000005e-07
